feature,importance
Light,39.652934538650065
CO2_current,26.20902232634403
CO2,26.209022326332732
CO2_lag_1,26.035087016289452
CO2_rolling_max_15,25.103339126584828
CO2_rolling_max_5,24.32031553966126
CO2_rolling_min_5,22.01359474356269
CO2_rolling_min_30,21.79165996247384
CO2_rolling_max_30,20.236498346882833
Occupancy,19.49181085270387
CO2_lag_15,14.663484420761526
cos_hour,13.57424062163431
CO2_lag_5,12.333285650896705
sin_hour,9.80259856174696
CO2_rolling_min_15,9.633807745239121
CO2_lag_10,7.88672287440608
Humidity,7.864943450085244
hour,7.7463058725110585
day_of_week,7.478365933781891
CO2_lag_30,6.9332143831469155
HumidityRatio,6.86360032613276
CO2_rolling_mean_30,6.613854889902665
CO2_rolling_mean_15,4.955058837400934
Temperature,4.102707130371119
CO2_rolling_mean_5,2.670239652847916
CO2_delta_1,2.6485292812850605
CO2_rolling_std_5,2.433269454628878
CO2_rolling_std_30,1.8292549469923567
CO2_rolling_std_15,1.1816328693645206
is_weekend,0.0
